City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tres Lagoas,BR,2021-02-07 17:01:19,-20.7511,-51.6783,84.27,53,19,3.2
67,Mount Gambier,AU,2021-02-07 17:01:02,-37.8333,140.7667,55.4,71,90,6.91
68,Gizo,SB,2021-02-07 17:01:21,-8.103,156.8419,82.51,76,55,7.96
69,Kapaa,US,2021-02-07 16:53:39,22.0752,-159.319,60.8,72,1,11.5
70,Bindura,ZW,2021-02-07 17:01:25,-17.3019,31.3306,73.99,62,73,3.0
71,Cabedelo,BR,2021-02-07 16:49:40,-6.9811,-34.8339,89.6,58,75,12.66
72,Touros,BR,2021-02-07 16:56:41,-5.1989,-35.4608,87.8,58,40,16.11
73,Lavrentiya,RU,2021-02-07 16:53:10,65.5833,-171.0,-10.77,83,0,6.53
74,Vaasa,FI,2021-02-07 17:01:29,63.096,21.6158,25.0,86,75,8.05
75,Semirom,IR,2021-02-07 17:01:30,31.4167,51.5667,30.88,98,96,4.41
76,Bela Vista De Goias,BR,2021-02-07 17:01:31,-16.9728,-48.9533,78.8,73,40,4.61
77,Cap Malheureux,MU,2021-02-07 17:01:33,-19.9842,57.6142,81.0,77,73,5.99
78,Flinders,AU,2021-02-07 16:54:21,-34.5833,150.8552,66.0,80,79,1.99
79,Batyrevo,RU,2021-02-07 17:01:35,55.0675,47.6111,-4.99,88,100,12.59
80,Kyabe,TD,2021-02-07 17:01:36,9.4515,18.9449,82.47,12,61,4.83
81,Iqaluit,CA,2021-02-07 16:56:55,63.7506,-68.5145,24.8,68,75,21.85
82,Castro,BR,2021-02-07 16:53:06,-24.7911,-50.0119,75.22,42,0,3.31
83,Faanui,PF,2021-02-07 16:49:57,-16.4833,-151.75,80.91,76,2,12.75
84,Newport,GB,2021-02-07 16:56:49,51.5877,-2.9984,37.0,71,84,1.01
85,Atambua,ID,2021-02-07 17:01:42,-9.1061,124.8925,74.91,89,99,3.4
86,Tura,IN,2021-02-07 16:58:11,25.5198,90.2201,59.2,42,16,2.28
87,Port-Gentil,GA,2021-02-07 17:01:08,-0.7193,8.7815,80.6,78,40,4.61
88,Imbituba,BR,2021-02-07 17:01:20,-28.24,-48.6703,84.2,39,0,13.8
89,Saskylakh,RU,2021-02-07 16:56:09,71.9167,114.0833,-38.13,78,27,11.86
90,Kaitangata,NZ,2021-02-07 16:49:53,-46.2817,169.8464,57.99,94,53,2.48
91,Nikolskoye,RU,2021-02-07 16:58:05,59.7035,30.7861,15.8,92,75,11.18
92,Camacha,PT,2021-02-07 16:57:39,33.0833,-16.3333,60.8,88,40,14.97
93,Torbay,CA,2021-02-07 16:53:30,47.6666,-52.7314,34.0,59,40,33.38
94,Balashov,RU,2021-02-07 17:01:51,51.5502,43.1667,-3.35,91,97,11.81
95,Grindavik,IS,2021-02-07 16:50:22,63.8424,-22.4338,35.6,60,20,16.11
